ID,Source IP,Destination IP,TTL,TOS,Source Port,Destination Port,Flags,Protocol
ID,Source IP,Destination IP,TTL,TOS,Source Port,Destination Port,Flags,Protocol
ID,Source IP,Destination IP,TTL,TOS,Source Port,Destination Port,Flags,Protocol
56591,10.0.2.15,44.215.116.37,64,0,54514,443,-A-,TCP
8029,44.215.116.37,10.0.2.15,64,0,443,54514,-A-,TCP
54063,10.0.2.15,151.101.113.16,64,0,59236,443,-A-,TCP
57199,10.0.2.15,18.206.27.33,64,0,42510,443,-A-,TCP
8030,151.101.113.16,10.0.2.15,64,0,443,59236,-A-,TCP
8031,18.206.27.33,10.0.2.15,64,0,443,42510,-A-,TCP
8032,151.101.113.16,10.0.2.15,64,0,443,59236,-A-,TCP
8033,18.206.27.33,10.0.2.15,64,0,443,42510,-A-,TCP
57200,10.0.2.15,18.206.27.33,64,0,42510,443,-A-,TCP
54064,10.0.2.15,151.101.113.16,64,0,59236,443,-A-,TCP
4338,10.0.2.15,54.239.17.248,64,0,57032,443,-A-,TCP
39856,10.0.2.15,54.239.17.248,64,0,57054,443,-A-,TCP
8034,54.239.17.248,10.0.2.15,64,0,443,57032,-A-,TCP
8035,54.239.17.248,10.0.2.15,64,0,443,57054,-A-,TCP
45428,10.0.2.15,192.229.211.108,64,0,55320,80,-A-,TCP
8036,192.229.211.108,10.0.2.15,64,0,80,55320,-A-,TCP
48428,10.0.2.15,35.212.37.81,64,0,44608,443,-A-,TCP
54960,10.0.2.15,189.202.184.139,64,0,46956,80,-A-,TCP
13459,10.0.2.15,189.202.184.139,64,0,46946,80,-A-,TCP
38347,10.0.2.15,189.202.184.139,64,0,37450,80,-A-,TCP
8037,35.212.37.81,10.0.2.15,64,0,443,44608,-A-,TCP
8038,189.202.184.139,10.0.2.15,64,0,80,46956,-A-,TCP
8039,189.202.184.139,10.0.2.15,64,0,80,46946,-A-,TCP
8040,189.202.184.139,10.0.2.15,64,0,80,37450,-A-,TCP
31852,10.0.2.15,3.161.8.128,64,0,46168,80,-A-,TCP
8041,3.161.8.128,10.0.2.15,64,0,80,46168,-A-,TCP
1795,10.0.2.15,44.215.129.38,64,0,34594,443,-A-,TCP
8042,44.215.129.38,10.0.2.15,64,0,443,34594,-A-,TCP
12679,10.0.2.15,34.107.221.82,64,0,60642,80,-A-,TCP
51742,10.0.2.15,34.107.221.82,64,0,60640,80,-A-,TCP
8043,34.107.221.82,10.0.2.15,64,0,80,60642,-A-,TCP
8044,34.107.221.82,10.0.2.15,64,0,80,60640,-A-,TCP
6212,10.0.2.15,3.161.8.128,64,0,46182,80,-A-,TCP
8045,3.161.8.128,10.0.2.15,64,0,80,46182,-A-,TCP
64152,10.0.2.15,3.161.8.128,64,0,39102,80,-A-,TCP
8046,3.161.8.128,10.0.2.15,64,0,80,39102,-A-,TCP
ID,Source IP,Destination IP,TTL,TOS,Source Port,Destination Port,Flags,Protocol
5168,10.0.2.15,10.206.133.89,64,0,41569,53,-,UDP
21857,10.0.2.15,10.206.133.89,64,0,54995,53,-,UDP
65140,10.0.2.15,10.206.133.89,64,0,49958,53,-,UDP
55823,10.0.2.15,10.206.133.89,64,0,38521,53,-,UDP
9578,10.206.133.89,10.0.2.15,64,0,53,54995,-,UDP
9579,10.206.133.89,10.0.2.15,64,0,53,41569,-,UDP
9580,10.206.133.89,10.0.2.15,64,0,53,49958,-,UDP
9581,10.206.133.89,10.0.2.15,64,0,53,38521,-,UDP
41539,10.0.2.15,34.107.221.82,64,0,48332,80,S--,TCP
9582,34.107.221.82,10.0.2.15,64,0,80,48332,SA-,TCP
41540,10.0.2.15,34.107.221.82,64,0,48332,80,-A-,TCP
41541,10.0.2.15,34.107.221.82,64,0,48332,80,-A-,TCP
9583,34.107.221.82,10.0.2.15,64,0,80,48332,-A-,TCP
9584,34.107.221.82,10.0.2.15,64,0,80,48332,-A-,TCP
41542,10.0.2.15,34.107.221.82,64,0,48332,80,-A-,TCP
46309,10.0.2.15,10.206.133.89,64,0,38244,53,-,UDP
63685,10.0.2.15,10.206.133.89,64,0,59140,53,-,UDP
61604,10.0.2.15,10.206.133.89,64,0,53269,53,-,UDP
22497,10.0.2.15,10.206.133.89,64,0,47968,53,-,UDP
28154,10.0.2.15,10.206.133.89,64,0,48810,53,-,UDP
60105,10.0.2.15,10.206.133.89,64,0,52267,53,-,UDP
40609,10.0.2.15,34.107.221.82,64,0,48344,80,S--,TCP
3312,10.0.2.15,10.206.133.89,64,0,56697,53,-,UDP
21504,10.0.2.15,10.206.133.89,64,0,33532,53,-,UDP
60831,10.0.2.15,10.206.133.89,64,0,46462,53,-,UDP
41247,10.0.2.15,10.206.133.89,64,0,57573,53,-,UDP
37928,10.0.2.15,10.206.133.89,64,0,52172,53,-,UDP
48635,10.0.2.15,10.206.133.89,64,0,58434,53,-,UDP
11098,10.0.2.15,10.206.133.89,64,0,43101,53,-,UDP
9585,10.206.133.89,10.0.2.15,64,0,53,38244,-,UDP
9586,34.107.221.82,10.0.2.15,64,0,80,48344,SA-,TCP
9587,10.206.133.89,10.0.2.15,64,0,53,53269,-,UDP
40610,10.0.2.15,34.107.221.82,64,0,48344,80,-A-,TCP
40611,10.0.2.15,34.107.221.82,64,0,48344,80,-A-,TCP
6185,10.0.2.15,10.206.133.89,64,0,48750,53,-,UDP
9588,34.107.221.82,10.0.2.15,64,0,80,48344,-A-,TCP
9589,10.206.133.89,10.0.2.15,64,0,53,59140,-,UDP
49496,10.0.2.15,10.206.133.89,64,0,39211,53,-,UDP
9590,10.206.133.89,10.0.2.15,64,0,53,47968,-,UDP
9591,10.206.133.89,10.0.2.15,64,0,53,48810,-,UDP
54379,10.0.2.15,10.206.133.89,64,0,50246,53,-,UDP
61883,10.0.2.15,10.206.133.89,64,0,59488,53,-,UDP
0,10.0.2.15,34.117.188.166,64,0,60889,443,-,UDP
9592,10.206.133.89,10.0.2.15,64,0,53,46462,-,UDP
9593,10.206.133.89,10.0.2.15,64,0,53,33532,-,UDP
9594,10.206.133.89,10.0.2.15,64,0,53,57573,-,UDP
55385,10.0.2.15,10.206.133.89,64,0,32989,53,-,UDP
9595,34.107.221.82,10.0.2.15,64,0,80,48344,-A-,TCP
40612,10.0.2.15,34.107.221.82,64,0,48344,80,-A-,TCP
9596,10.206.133.89,10.0.2.15,64,0,53,48750,-,UDP
9597,10.206.133.89,10.0.2.15,64,0,53,39211,-,UDP
26942,10.0.2.15,10.206.133.89,64,0,56281,53,-,UDP
9598,10.206.133.89,10.0.2.15,64,0,53,52267,-,UDP
9599,10.206.133.89,10.0.2.15,64,0,53,59488,-,UDP
9600,10.206.133.89,10.0.2.15,64,0,53,50246,-,UDP
32423,10.0.2.15,10.206.133.89,64,0,56956,53,-,UDP
9601,34.117.188.166,10.0.2.15,64,0,443,60889,-,UDP
9602,34.117.188.166,10.0.2.15,64,0,443,60889,-,UDP
9603,34.117.188.166,10.0.2.15,64,0,443,60889,-,UDP
9604,10.206.133.89,10.0.2.15,64,0,53,32989,-,UDP
11138,10.0.2.15,10.206.133.89,64,0,47530,53,-,UDP
9605,10.206.133.89,10.0.2.15,64,0,53,56281,-,UDP
0,10.0.2.15,34.117.188.166,64,0,60889,443,-,UDP
9606,10.206.133.89,10.0.2.15,64,0,53,56956,-,UDP
9607,10.206.133.89,10.0.2.15,64,0,53,58434,-,UDP
9608,10.206.133.89,10.0.2.15,64,0,53,47530,-,UDP
9609,34.117.188.166,10.0.2.15,64,0,443,60889,-,UDP
0,10.0.2.15,34.117.188.166,64,0,60889,443,-,UDP
9610,10.206.133.89,10.0.2.15,64,0,53,52172,-,UDP
9967,10.0.2.15,10.206.133.89,64,0,38509,53,-,UDP
27825,10.0.2.15,10.206.133.89,64,0,52502,53,-,UDP
45228,10.0.2.15,34.117.188.166,64,0,46686,443,S--,TCP
63971,10.0.2.15,10.206.133.89,64,0,57761,53,-,UDP
40385,10.0.2.15,10.206.133.89,64,0,42494,53,-,UDP
9611,10.206.133.89,10.0.2.15,64,0,53,43101,-,UDP
9612,34.117.188.166,10.0.2.15,64,0,443,46686,SA-,TCP
45229,10.0.2.15,34.117.188.166,64,0,46686,443,-A-,TCP
49062,10.0.2.15,10.206.133.89,64,0,37380,53,-,UDP
45230,10.0.2.15,34.117.188.166,64,0,46686,443,-A-,TCP
9613,34.117.188.166,10.0.2.15,64,0,443,46686,-A-,TCP
9614,34.117.188.166,10.0.2.15,64,0,443,46686,-A-,TCP
9615,10.206.133.89,10.0.2.15,64,0,53,38509,-,UDP
9616,10.206.133.89,10.0.2.15,64,0,53,57761,-,UDP
9617,10.206.133.89,10.0.2.15,64,0,53,52502,-,UDP
9618,10.206.133.89,10.0.2.15,64,0,53,42494,-,UDP
54232,10.0.2.15,10.206.133.89,64,0,54619,53,-,UDP
9619,10.206.133.89,10.0.2.15,64,0,53,56697,-,UDP
9620,10.206.133.89,10.0.2.15,64,0,53,37380,-,UDP
9621,34.117.188.166,10.0.2.15,64,0,443,46686,-A-,TCP
45232,10.0.2.15,34.117.188.166,64,0,46686,443,-A-,TCP
9623,34.117.188.166,10.0.2.15,64,0,443,46686,-A-,TCP
45233,10.0.2.15,34.117.188.166,64,0,46686,443,-A-,TCP
9624,10.206.133.89,10.0.2.15,64,0,53,54619,-,UDP
0,10.0.2.15,69.192.119.154,64,0,39333,443,-,UDP
48386,10.0.2.15,23.64.121.49,64,0,59898,80,S--,TCP
9625,69.192.119.154,10.0.2.15,64,0,443,39333,-,UDP
9626,69.192.119.154,10.0.2.15,64,0,443,39333,-,UDP
9627,69.192.119.154,10.0.2.15,64,0,443,39333,-,UDP
9628,69.192.119.154,10.0.2.15,64,0,443,39333,-,UDP
9629,69.192.119.154,10.0.2.15,64,0,443,39333,-,UDP
9630,69.192.119.154,10.0.2.15,64,0,443,39333,-,UDP
0,10.0.2.15,69.192.119.154,64,0,39333,443,-,UDP
0,10.0.2.15,34.117.188.166,64,0,60889,443,-,UDP
10308,10.0.2.15,34.160.144.191,64,0,36178,443,S--,TCP
25895,10.0.2.15,23.64.121.49,64,0,59914,80,S--,TCP
9631,23.64.121.49,10.0.2.15,64,0,80,59898,SA-,TCP
48387,10.0.2.15,23.64.121.49,64,0,59898,80,-A-,TCP
48388,10.0.2.15,23.64.121.49,64,0,59898,80,-A-,TCP
9632,23.64.121.49,10.0.2.15,64,0,80,59898,-A-,TCP
9633,34.160.144.191,10.0.2.15,64,0,443,36178,SA-,TCP
10309,10.0.2.15,34.160.144.191,64,0,36178,443,-A-,TCP
10310,10.0.2.15,34.160.144.191,64,0,36178,443,-A-,TCP
9634,34.160.144.191,10.0.2.15,64,0,443,36178,-A-,TCP
9635,34.117.188.166,10.0.2.15,64,0,443,60889,-,UDP
9636,23.64.121.49,10.0.2.15,64,0,80,59914,SA-,TCP
25896,10.0.2.15,23.64.121.49,64,0,59914,80,-A-,TCP
25897,10.0.2.15,23.64.121.49,64,0,59914,80,-A-,TCP
0,10.0.2.15,69.192.119.154,64,0,39333,443,-,UDP
